Wavelength,Element,Spectrum
438.1543,C,I]
438.1754,C,I]
438.1800,C,III
438.259,O,III
438.259,O,III
438.28,O,IV]
438.36723,O,II]
438.4129,C,III
438.457,O,I]
438.4667,O,III
438.470,O,I]
438.472,O,III
438.472,O,III
438.4765,C,III
438.495,O,I
438.496,O,I
438.5044,O,II]
438.52,O,I]
438.54,O,V
438.55,O,I]
438.562,O,I
438.5678,O,II
438.569,O,I
438.569,O,I
438.569,O,I
438.59314,O,II
438.60,O,I]
438.61,O,I]
438.618,O,I
438.618,O,I
438.618,O,I
438.618,O,I
438.618,O,I
438.636,C,II]
438.636,C,II]
438.65573,O,II
438.68,O,I
438.68,O,I
438.6881,O,III
438.69,O,I]
438.712,O,I
438.712,O,I
438.712,O,I
438.712,O,I
438.712,O,I
438.79,O,I]
438.85,O,I]
438.909,O,I]
438.909,O,I]
438.9251,C,III
438.944,O,I]
438.944,O,I]
438.944,O,I]
438.948,O,I]
438.948,O,I]
438.948,O,I]
438.9694,O,III
439.018,O,IV
439.019,O,I]
439.019,O,I]
439.040,C,II]
439.046,O,I]
439.049,O,I
439.049,O,I
439.050,O,I
439.050,O,I
439.050,O,I
439.050,O,I]
439.070,O,IV
439.070,O,IV
439.0776,O,II]
439.085,O,I]
439.09,C,III
439.0941,O,III]
439.117,O,I
439.117,O,I
439.117,O,I]
439.123,O,III
439.128,C,VI
439.17,C,III
439.228,O,III
439.2828,O,III
439.367,O,I
439.368,O,I
439.373,O,I
439.396,C,II]
439.40598,O,I]
439.42,O,IV
439.4669,O,II
439.488,O,III
439.491,C,IV
439.491,C,IV
439.517,O,I
439.519,O,I
439.5226,O,III
439.588,C,II]
439.66,C,III
439.6934,C,II]
439.71696,O,II
439.780,O,I
439.819,O,III]
439.90587,O,II
439.93310,O,II
439.9937,O,II
440.01,O,I]
440.080,O,I]
440.080,O,I]
440.084,O,III
440.084,O,III
440.10,O,I]
440.119,O,I]
440.119,O,I]
440.119,O,I]
440.12,O,V
440.14,O,V
440.141,O,I
